@relation 'Example_Dataset: -C 48'

@attribute true_guineaFowl {0,1}
@attribute true_lionMale {0,1}
@attribute true_topi {0,1}
@attribute true_serval {0,1}
@attribute true_ostrich {0,1}
@attribute true_mongoose {0,1}
@attribute true_reptiles {0,1}
@attribute true_gazelleThomsons {0,1}
@attribute true_cheetah {0,1}
@attribute true_rodents {0,1}
@attribute true_waterbuck {0,1}
@attribute true_eland {0,1}
@attribute true_hartebeest {0,1}
@attribute true_koriBustard {0,1}
@attribute true_otherBird {0,1}
@attribute true_hyenaStriped {0,1}
@attribute true_rhinoceros {0,1}
@attribute true_batEaredFox {0,1}
@attribute true_lionFemale {0,1}
@attribute true_civet {0,1}
@attribute true_porcupine {0,1}
@attribute true_hare {0,1}
@attribute true_human {0,1}
@attribute true_wildcat {0,1}
@attribute true_zebra {0,1}
@attribute true_caracal {0,1}
@attribute true_genet {0,1}
@attribute true_buffalo {0,1}
@attribute true_hyenaSpotted {0,1}
@attribute true_reedbuck {0,1}
@attribute true_impala {0,1}
@attribute true_baboon {0,1}
@attribute true_aardwolf {0,1}
@attribute true_zorilla {0,1}
@attribute true_jackal {0,1}
@attribute true_vervetMonkey {0,1}
@attribute true_hippopotamus {0,1}
@attribute true_bushbuck {0,1}
@attribute true_leopard {0,1}
@attribute true_giraffe {0,1}
@attribute true_wildebeest {0,1}
@attribute true_aardvark {0,1}
@attribute true_gazelleGrants {0,1}
@attribute true_warthog {0,1}
@attribute true_honeyBadger {0,1}
@attribute true_secretaryBird {0,1}
@attribute true_elephant {0,1}
@attribute true_dikDik {0,1}
@attribute votes_guineaFowl numeric
@attribute votes_lionMale numeric
@attribute votes_topi numeric
@attribute votes_serval numeric
@attribute votes_ostrich numeric
@attribute votes_mongoose numeric
@attribute votes_reptiles numeric
@attribute votes_gazelleThomsons numeric
@attribute votes_cheetah numeric
@attribute votes_rodents numeric
@attribute votes_waterbuck numeric
@attribute votes_eland numeric
@attribute votes_hartebeest numeric
@attribute votes_koriBustard numeric
@attribute votes_otherBird numeric
@attribute votes_hyenaStriped numeric
@attribute votes_rhinoceros numeric
@attribute votes_batEaredFox numeric
@attribute votes_lionFemale numeric
@attribute votes_civet numeric
@attribute votes_porcupine numeric
@attribute votes_hare numeric
@attribute votes_human numeric
@attribute votes_wildcat numeric
@attribute votes_zebra numeric
@attribute votes_caracal numeric
@attribute votes_genet numeric
@attribute votes_buffalo numeric
@attribute votes_hyenaSpotted numeric
@attribute votes_reedbuck numeric
@attribute votes_impala numeric
@attribute votes_baboon numeric
@attribute votes_aardwolf numeric
@attribute votes_zorilla numeric
@attribute votes_jackal numeric
@attribute votes_vervetMonkey numeric
@attribute votes_hippopotamus numeric
@attribute votes_bushbuck numeric
@attribute votes_leopard numeric
@attribute votes_giraffe numeric
@attribute votes_wildebeest numeric
@attribute votes_aardvark numeric
@attribute votes_gazelleGrants numeric
@attribute votes_warthog numeric
@attribute votes_honeyBadger numeric
@attribute votes_secretaryBird numeric
@attribute votes_elephant numeric
@attribute votes_dikDik numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
